,State,Year,Quater,Disrict,Reg_users
601,ysr district,2019,3,ysr district,574109
602,west godavari district,2019,3,west godavari district,662102
603,chittoor district,2019,3,chittoor district,1032733
604,east godavari district,2019,4,east godavari district,1195228
605,srikakulam district,2019,4,srikakulam district,496266
606,visakhapatnam district,2019,4,visakhapatnam district,1620235
607,prakasam district,2019,4,prakasam district,673522
608,anantapur district,2019,4,anantapur district,873033
609,kurnool district,2019,4,kurnool district,846885
610,guntur district,2019,4,guntur district,1158708
611,krishna district,2019,4,krishna district,1199971
612,spsr nellore district,2019,4,spsr nellore district,697154
613,vizianagaram district,2019,4,vizianagaram district,443810
614,ysr district,2019,4,ysr district,646642
615,west godavari district,2019,4,west godavari district,750078
616,chittoor district,2019,4,chittoor district,1156351
617,east godavari district,2019,4,east godavari district,1195228
618,srikakulam district,2019,4,srikakulam district,496266
619,visakhapatnam district,2019,4,visakhapatnam district,1620235
620,prakasam district,2019,4,prakasam district,673522
621,anantapur district,2019,4,anantapur district,873033
622,kurnool district,2019,4,kurnool district,846885
623,guntur district,2019,4,guntur district,1158708
624,krishna district,2019,4,krishna district,1199971
625,spsr nellore district,2019,4,spsr nellore district,697154
626,vizianagaram district,2019,4,vizianagaram district,443810
627,ysr district,2019,4,ysr district,646642
628,west godavari district,2019,4,west godavari district,750078
629,chittoor district,2019,4,chittoor district,1156351
630,east godavari district,2019,4,east godavari district,1195228
631,srikakulam district,2019,4,srikakulam district,496266
632,visakhapatnam district,2019,4,visakhapatnam district,1620235
633,prakasam district,2019,4,prakasam district,673522
634,anantapur district,2019,4,anantapur district,873033
635,kurnool district,2019,4,kurnool district,846885
636,guntur district,2019,4,guntur district,1158708
637,krishna district,2019,4,krishna district,1199971
638,spsr nellore district,2019,4,spsr nellore district,697154
639,vizianagaram district,2019,4,vizianagaram district,443810
640,ysr district,2019,4,ysr district,646642
641,west godavari district,2019,4,west godavari district,750078
642,chittoor district,2019,4,chittoor district,1156351
643,east godavari district,2019,4,east godavari district,1195228
644,srikakulam district,2019,4,srikakulam district,496266
645,visakhapatnam district,2019,4,visakhapatnam district,1620235
646,prakasam district,2019,4,prakasam district,673522
647,anantapur district,2019,4,anantapur district,873033
648,kurnool district,2019,4,kurnool district,846885
649,guntur district,2019,4,guntur district,1158708
650,krishna district,2019,4,krishna district,1199971
651,spsr nellore district,2019,4,spsr nellore district,697154
652,vizianagaram district,2019,4,vizianagaram district,443810
653,ysr district,2019,4,ysr district,646642
654,west godavari district,2019,4,west godavari district,750078
655,chittoor district,2019,4,chittoor district,1156351
656,east godavari district,2020,1,east godavari district,1329664
657,srikakulam district,2020,1,srikakulam district,552007
658,visakhapatnam district,2020,1,visakhapatnam district,1763581
659,prakasam district,2020,1,prakasam district,748655
660,anantapur district,2020,1,anantapur district,971850
661,kurnool district,2020,1,kurnool district,936293
662,guntur district,2020,1,guntur district,1289678
663,krishna district,2020,1,krishna district,1331602
664,spsr nellore district,2020,1,spsr nellore district,775440
665,vizianagaram district,2020,1,vizianagaram district,490683
666,ysr district,2020,1,ysr district,717865
667,west godavari district,2020,1,west godavari district,843835
668,chittoor district,2020,1,chittoor district,1270907
669,east godavari district,2020,1,east godavari district,1329664
670,srikakulam district,2020,1,srikakulam district,552007
671,visakhapatnam district,2020,1,visakhapatnam district,1763581
672,prakasam district,2020,1,prakasam district,748655
673,anantapur district,2020,1,anantapur district,971850
674,kurnool district,2020,1,kurnool district,936293
675,guntur district,2020,1,guntur district,1289678
676,krishna district,2020,1,krishna district,1331602
677,spsr nellore district,2020,1,spsr nellore district,775440
678,vizianagaram district,2020,1,vizianagaram district,490683
679,ysr district,2020,1,ysr district,717865
680,west godavari district,2020,1,west godavari district,843835
681,chittoor district,2020,1,chittoor district,1270907
682,east godavari district,2020,1,east godavari district,1329664
683,srikakulam district,2020,1,srikakulam district,552007
684,visakhapatnam district,2020,1,visakhapatnam district,1763581
685,prakasam district,2020,1,prakasam district,748655
686,anantapur district,2020,1,anantapur district,971850
687,kurnool district,2020,1,kurnool district,936293
688,guntur district,2020,1,guntur district,1289678
689,krishna district,2020,1,krishna district,1331602
690,spsr nellore district,2020,1,spsr nellore district,775440
691,vizianagaram district,2020,1,vizianagaram district,490683
692,ysr district,2020,1,ysr district,717865
693,west godavari district,2020,1,west godavari district,843835
694,chittoor district,2020,1,chittoor district,1270907
695,east godavari district,2020,1,east godavari district,1329664
696,srikakulam district,2020,1,srikakulam district,552007
697,visakhapatnam district,2020,1,visakhapatnam district,1763581
698,prakasam district,2020,1,prakasam district,748655
699,anantapur district,2020,1,anantapur district,971850
700,kurnool district,2020,1,kurnool district,936293
701,guntur district,2020,1,guntur district,1289678
702,krishna district,2020,1,krishna district,1331602
703,spsr nellore district,2020,1,spsr nellore district,775440
704,vizianagaram district,2020,1,vizianagaram district,490683
705,ysr district,2020,1,ysr district,717865
706,west godavari district,2020,1,west godavari district,843835
707,chittoor district,2020,1,chittoor district,1270907
708,east godavari district,2020,2,east godavari district,1459116
709,srikakulam district,2020,2,srikakulam district,608002
710,visakhapatnam district,2020,2,visakhapatnam district,1904719
711,prakasam district,2020,2,prakasam district,830709
712,anantapur district,2020,2,anantapur district,1076953
713,kurnool district,2020,2,kurnool district,1035093
714,guntur district,2020,2,guntur district,1426271
715,krishna district,2020,2,krishna district,1459041
716,spsr nellore district,2020,2,spsr nellore district,854459
717,vizianagaram district,2020,2,vizianagaram district,537798
718,ysr district,2020,2,ysr district,796769
719,west godavari district,2020,2,west godavari district,944829
720,chittoor district,2020,2,chittoor district,1385916
721,east godavari district,2020,2,east godavari district,1459116
722,srikakulam district,2020,2,srikakulam district,608002
723,visakhapatnam district,2020,2,visakhapatnam district,1904719
724,prakasam district,2020,2,prakasam district,830709
725,anantapur district,2020,2,anantapur district,1076953
726,kurnool district,2020,2,kurnool district,1035093
727,guntur district,2020,2,guntur district,1426271
728,krishna district,2020,2,krishna district,1459041
729,spsr nellore district,2020,2,spsr nellore district,854459
730,vizianagaram district,2020,2,vizianagaram district,537798
731,ysr district,2020,2,ysr district,796769
732,west godavari district,2020,2,west godavari district,944829
733,chittoor district,2020,2,chittoor district,1385916
734,east godavari district,2020,2,east godavari district,1459116
735,srikakulam district,2020,2,srikakulam district,608002
736,visakhapatnam district,2020,2,visakhapatnam district,1904719
737,prakasam district,2020,2,prakasam district,830709
738,anantapur district,2020,2,anantapur district,1076953
739,kurnool district,2020,2,kurnool district,1035093
740,guntur district,2020,2,guntur district,1426271
